"","x"
"791","AMICA1"
"792","NCKAP1L"
"793","TGFB2"
"794","EDN3"
"795","EDN2"
"796","S100A8"
"797","S100A9"
"798","CSF3R"
"799","CXCR2"
"800","ITGA9"
"801","PDE4B"
"802","PDE4D"
"803","CORO1A"
"804","LYST"
"805","SBDS"
"806","CCR2"
"807","GAS6"
"808","HRH1"
"809","NUP85"
"810","EDNRB"
"811","ROCK1"
"812","MSN"
"813","EZR"
"814","OLR1"
"815","FERMT3"
"816","TNIP1"
"817","GCNT1"
"818","PODXL2"
"819","LEP"
"820","SELPLG"
"821","GOLPH3"
"822","CHST4"
"823","STK10"
"824","FN1"
"825","PLA2G2A"
"826","REG4"
"827","F11"
"828","PTGDS"
"829","KLKB1"
"830","OLFM4"
"831","SPOCK3"
"832","C8G"
"833","SERPINC1"
"834","OLFM1"
"835","CTRB1"
"836","OGN"
"837","C1QTNF7"
"838","GPLD1"
"839","EGF"
"840","IL18BP"
"841","UCMA"
"842","CFI"
"843","MMP1"
"844","MMP8"
"845","APOC2"
"846","IAPP"
"847","PTPRG"
"848","C8B"
"849","GIF"
"850","COL6A2"
"851","C8A"
"852","SERPINE3"
"853","MYOC"
"854","ADAMTS20"
"855","F7"
"856","FGF10"
"857","CTSB"
"858","WNT9A"
"859","NEPNP"
"860","POMC"
"861","APOD"
"862","CEL"
"863","COL25A1"
"864","BCHE"
"865","CNTF"
"866","SMPD1"
"867","HPX"
"868","WFDC1"
"869","TFF2"
"870","FBLN1"
"871","SERPINI2"
"872","TFF1"
"873","SEZ6"
"874","FBLN5"
"875","ADCYAP1"
"876","F5"
"877","CNP"
"878","NCR1"
"879","LY6G5B"
"880","LY6G6F"
